application_id,application_date,intake_intake_channel,intake_new_customer,intake_lender_segment,intake_region,intake_sector,intake_business_age_years,intake_annual_revenue_gbp,intake_requested_loan_gbp,intake_requested_term_months,intake_loan_purpose,intake_personal_guarantee,intake_collateral_type,intake_bureau_score,intake_ccj_count,intake_default_history,intake_kyc_pass,intake_aml_risk,intake_pep_hit,intake_sanctions_hit,intake_doc_completeness,enrich_dscr,enrich_leverage_ratio,enrich_cashflow_volatility,enrich_ltv,enrich_risk_score,enrich_triage_priority,expected_decision,reason_primary,reason_secondary,reason_tertiary
APP202600758,2025-05-12,Web,False,Mid-Tier/Challenger Bank,North West,Real Estate,3.37,252048.68,90996.11,24,Marketing,True,Mixed,68.97,0,False,True,Low,False,False,0.76,0.57,2.73,0.28,0.558,56.9316,2,Accept,,,
APP202600598,2025-04-29,Email CSV,True,Alt Lender (Non-ML),Scotland,Professional Services,4.89,204606.23,84335.12,48,Equipment Lease Buyout,True,Equipment,39.9,0,False,True,Low,False,False,0.5,0.79,2.44,0.03,0.594,48.42866667,2,Review,REVIEW_DOCS,,
APP202600247,2025-07-23,Portal Upload,True,Mid-Tier/Challenger Bank,Northern Ireland,Hospitality,9.71,455604.47,135102.24,48,Inventory,False,Property,68.89,0,False,True,Medium,False,False,0.54,0.62,0.0,0.26,0.315,57.2592,2,Review,REVIEW_COMPLIANCE,REVIEW_DOCS,
APP202600372,2025-04-24,Email CSV,False,Non-Bank/Public Financier,Scotland,Construction,3.69,100000.0,80993.02,12,Asset Purchase,True,None,39.95,0,False,True,Low,False,False,0.67,0.37,2.61,0.46,,42.196,2,Decline,AFFORDABILITY_FAIL,BUREAU_LOW,COLLATERAL_WEAK
APP202600299,2025-05-29,Portal Upload,True,Non-Bank/Public Financier,Yorkshire & Humber,Health & Social Care,2.64,631453.29,29269.86,48,Marketing,True,Mixed,37.73,0,False,True,Low,False,False,0.71,3.5,2.23,0.45,0.394,70.02106667,2,Accept,,,
APP202600062,2025-05-10,Broker CSV,True,Non-Bank/Public Financier,East of England,Transportation & Storage,7.09,100000.0,25000.0,60,Equipment Lease Buyout,True,Equipment,44.54,0,False,True,Low,False,False,0.89,1.02,2.39,0.33,0.802,54.19453333,1,Review,REVIEW_AFFORDABILITY,REVIEW_SECURITY,
APP202600361,2025-08-04,Portal Upload,True,Alt Lender (Non-ML),Northern Ireland,Construction,5.82,100000.0,25118.42,24,Growth/Expansion,True,Property,52.46,0,False,True,Low,False,False,0.68,1.43,4.05,0.42,0.4,58.0688,2,Accept,,,
APP202600242,2025-07-15,Web,False,Mid-Tier/Challenger Bank,Scotland,Real Estate,5.96,404626.5,25000.0,36,Asset Purchase,False,Property,52.81,0,False,True,Low,False,False,0.9,3.5,0.9,0.27,0.618,76.3068,1,Accept,,,
APP202600904,2025-06-21,Web,False,Alt Lender (Non-ML),Northern Ireland,Agriculture,22.75,208517.51,101577.17,36,Refinance,True,Mixed,64.58,0,False,True,Low,False,False,0.44,0.81,4.71,0.51,0.437,46.4324,3,Review,REVIEW_DOCS,,
APP202600924,2025-07-08,Email CSV,True,Alt Lender (Non-ML),South East,Construction,7.81,100000.0,51503.63,24,Growth/Expansion,False,Mixed,76.6,0,False,True,Low,False,False,0.46,0.32,1.22,0.01,0.496,56.64133333,3,Review,REVIEW_DOCS,,
APP202600928,2025-06-20,Broker CSV,True,Non-Bank/Public Financier,East Midlands,Health & Social Care,2.42,100000.0,53746.79,36,Refinance,False,Property,56.54,0,False,True,Low,False,False,0.59,0.31,3.66,0.43,0.373,43.6612,2,Review,REVIEW_DOCS,,
APP202600201,2025-07-02,Broker CSV,False,Alt Lender (Non-ML),London,Construction,10.48,100000.0,351903.76,36,Inventory,True,Property,67.32,0,False,True,Low,False,False,0.85,0.2,3.53,0.44,0.525,53.46293333,1,Accept,,,
APP202600502,2025-05-18,Web,False,Alt Lender (Non-ML),South East,Construction,15.5,100000.0,25000.0,24,Inventory,True,None,73.24,0,False,True,Low,False,False,0.68,0.95,3.34,0.57,,53.76386667,2,Review,REVIEW_AFFORDABILITY,REVIEW_SECURITY,
APP202600501,2025-06-23,Broker CSV,True,Non-Bank/Public Financier,North West,Retail,2.63,100000.0,25000.0,24,Marketing,True,Property,51.91,0,True,True,Low,False,False,0.93,1.76,2.03,0.65,0.508,61.37813333,1,Accept,,,
APP202600171,2025-05-13,Email CSV,True,Mid-Tier/Challenger Bank,East Midlands,Retail,5.67,100000.0,73189.1,24,Inventory,True,Mixed,60.36,0,False,True,Low,False,False,0.87,0.3,1.25,0.15,0.34,61.78413333,1,Accept,,,
APP202600917,2025-08-02,Broker CSV,False,Mid-Tier/Challenger Bank,North West,Manufacturing,1.99,112374.52,53656.4,12,Working Capital,False,Property,75.23,0,False,True,Low,False,False,0.82,0.63,1.68,0.23,0.291,63.0644,1,Accept,,,
APP202600148,2025-06-05,Email CSV,True,Alt Lender (Non-ML),Scotland,Agriculture,14.78,234697.68,155323.77,24,Marketing,True,Property,32.17,0,False,False,Low,False,False,0.38,0.42,2.86,0.3,0.387,40.26426667,3,Decline,KYC_FAIL,BUREAU_LOW,
APP202600023,2025-06-25,Web,True,Alt Lender (Non-ML),East of England,Manufacturing,5.36,175281.24,81266.99,36,Inventory,True,None,59.91,0,False,True,Low,False,False,0.6,0.66,1.9,0.21,,53.00146667,2,Decline,AFFORDABILITY_FAIL,COLLATERAL_WEAK,
APP202600967,2025-04-12,Broker CSV,True,Mid-Tier/Challenger Bank,Wales,Health & Social Care,5.81,396132.76,320300.05,24,Marketing,False,Property,60.6,0,False,True,High,False,False,0.79,0.27,2.4,0.09,0.534,50.028,2,Review,REVIEW_COMPLIANCE,,
APP202600190,2025-08-24,Email CSV,True,Mid-Tier/Challenger Bank,South East,Information & Communication,4.39,100000.0,86147.91,12,Marketing,False,Property,84.08,0,False,True,Low,False,False,0.82,0.39,1.8,0.22,0.625,60.5924,1,Accept,,,
APP202600713,2025-08-04,Web,True,Non-Bank/Public Financier,Yorkshire & Humber,Construction,2.65,100000.0,40842.58,24,Asset Purchase,True,Property,67.24,0,True,True,Low,False,False,0.7,0.53,2.11,0.52,0.472,51.31386667,2,Accept,,,
APP202600979,2025-07-09,Broker CSV,True,Alt Lender (Non-ML),Wales,Construction,3.86,100000.0,25000.0,24,Inventory,True,Property,51.59,1,False,True,Low,False,False,0.39,0.63,2.66,0.41,0.623,43.03853333,3,Review,REVIEW_DOCS,,
APP202600724,2025-05-30,Email CSV,True,Mid-Tier/Challenger Bank,East Midlands,Agriculture,21.05,100000.0,68480.71,24,Equipment Lease Buyout,False,Property,59.85,0,False,True,Low,False,False,0.32,0.2,1.83,0.54,0.354,45.248,3,Review,REVIEW_DOCS,,
APP202600786,2025-05-08,Web,False,Alt Lender (Non-ML),Yorkshire & Humber,Professional Services,3.36,228104.17,109421.79,18,Working Capital,False,Equipment,65.37,0,False,True,Low,False,False,0.89,0.61,3.16,0.13,0.894,52.30026667,1,Decline,AFFORDABILITY_FAIL,COLLATERAL_WEAK,
